ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-02-23,31.30174745134228,20.433535396081446,40.104633168722174,31.30174745134228,31.30174745134228,-0.9336587690825724,-0.9336587690825724,-0.9336587690825724,1.0892424057091379,1.0892424057091379,1.0892424057091379,-2.0229011747917105,-2.0229011747917105,-2.0229011747917105,0.0,0.0,0.0,30.368088682259707
2015-02-24,31.284940247453306,20.445157967240664,40.69238668528939,31.284940247453306,31.284940247453306,-1.3190142442004622,-1.3190142442004622,-1.3190142442004622,1.0109904169228277,1.0109904169228277,1.0109904169228277,-2.3300046611232896,-2.3300046611232896,-2.3300046611232896,0.0,0.0,0.0,29.965926003252843
2015-02-25,31.268133043564333,19.202330313037425,39.28818067100626,31.268133043564333,31.268133043564333,-1.6583320164298463,-1.6583320164298463,-1.6583320164298463,0.976084558157955,0.976084558157955,0.976084558157955,-2.6344165745878017,-2.6344165745878017,-2.6344165745878017,0.0,0.0,0.0,29.609801027134488
2015-02-26,31.251325839675356,18.771303629720535,38.87670597348141,31.251325839675356,31.251325839675356,-1.9959114940324176,-1.9959114940324176,-1.9959114940324176,0.937248288996895,0.937248288996895,0.937248288996895,-2.933159783029313,-2.933159783029313,-2.933159783029313,0.0,0.0,0.0,29.25541434564294
2015-02-27,31.234518635786383,19.655714485121496,38.88339062866787,31.234518635786383,31.234518635786383,-2.2984716468095012,-2.2984716468095012,-2.2984716468095012,0.9248777555233593,0.9248777555233593,0.9248777555233593,-3.22334940233286,-3.22334940233286,-3.22334940233286,0.0,0.0,0.0,28.936046988976884
2015-03-02,31.184097024119456,17.929052291394452,37.33629858461669,31.184097024119456,31.184097024119456,-2.9266785711954375,-2.9266785711954375,-2.9266785711954375,1.0892424057088634,1.0892424057088634,1.0892424057088634,-4.015920976904301,-4.015920976904301,-4.015920976904301,0.0,0.0,0.0,28.257418452924018
2015-03-03,31.16728982023048,18.348022972358752,37.96618835256562,31.16728982023048,31.16728982023048,-3.235199036544826,-3.235199036544826,-3.235199036544826,1.0109904169230726,1.0109904169230726,1.0109904169230726,-4.246189453467898,-4.246189453467898,-4.246189453467898,0.0,0.0,0.0,27.932090783685652
2015-03-04,31.150482616341506,18.126917736179806,37.46647904837578,31.150482616341506,31.150482616341506,-3.480045179539409,-3.480045179539409,-3.480045179539409,0.976084558157868,0.976084558157868,0.976084558157868,-4.456129737697277,-4.456129737697277,-4.456129737697277,0.0,0.0,0.0,27.670437436802096
2015-03-05,31.13367541245253,17.857780937006844,37.4433302984793,31.13367541245253,31.13367541245253,-3.706886413489435,-3.706886413489435,-3.706886413489435,0.9372482889963197,0.9372482889963197,0.9372482889963197,-4.644134702485755,-4.644134702485755,-4.644134702485755,0.0,0.0,0.0,27.426788998963094
2015-03-06,31.116868208563556,17.088230498547286,38.102805674828346,31.116868208563556,31.116868208563556,-3.8840253218518708,-3.8840253218518708,-3.8840253218518708,0.924877755523591,0.924877755523591,0.924877755523591,-4.808903077375462,-4.808903077375462,-4.808903077375462,0.0,0.0,0.0,27.232842886711687
2015-03-09,31.06644659689663,17.60537349401616,37.226077538921444,31.06644659689663,31.06644659689663,-4.066418868594184,-4.066418868594184,-4.066418868594184,1.089242405708844,1.089242405708844,1.089242405708844,-5.155661274303028,-5.155661274303028,-5.155661274303028,0.0,0.0,0.0,27.000027728302445
2015-03-10,31.049639393007652,15.943533164224261,36.51266392105578,31.049639393007652,31.049639393007652,-4.210046459591725,-4.210046459591725,-4.210046459591725,1.0109904169220767,1.0109904169220767,1.0109904169220767,-5.221036876513802,-5.221036876513802,-5.221036876513802,0.0,0.0,0.0,26.83959293341593
2015-03-11,31.03283218911868,16.86604859951387,36.7267301553904,31.03283218911868,31.03283218911868,-4.285550982258131,-4.285550982258131,-4.285550982258131,0.9760845581579818,0.9760845581579818,0.9760845581579818,-5.261635540416113,-5.261635540416113,-5.261635540416113,0.0,0.0,0.0,26.74728120686055
2015-03-12,31.016024985229702,16.69309223240166,37.09654609412326,31.016024985229702,31.016024985229702,-4.34089762053783,-4.34089762053783,-4.34089762053783,0.9372482889971253,0.9372482889971253,0.9372482889971253,-5.278145909534955,-5.278145909534955,-5.278145909534955,0.0,0.0,0.0,26.67512736469187
2015-03-13,30.999217781340725,16.99593490296039,36.60604739252541,30.999217781340725,30.999217781340725,-4.346687669325659,-4.346687669325659,-4.346687669325659,0.9248777555235251,0.9248777555235251,0.9248777555235251,-5.271565424849184,-5.271565424849184,-5.271565424849184,0.0,0.0,0.0,26.652530112015064
2015-03-16,30.948796169673802,17.15568075605862,36.846694958149016,30.948796169673802,30.948796169673802,-4.038184758226895,-4.038184758226895,-4.038184758226895,1.089242405708824,1.089242405708824,1.089242405708824,-5.127427163935718,-5.127427163935718,-5.127427163935718,0.0,0.0,0.0,26.910611411446908
2015-03-17,30.931988965784825,16.754677616016256,37.181543932376094,30.931988965784825,30.931988965784825,-4.0328385223558225,-4.0328385223558225,-4.0328385223558225,1.0109904169250088,1.0109904169250088,1.0109904169250088,-5.043828939280831,-5.043828939280831,-5.043828939280831,0.0,0.0,0.0,26.899150443429
2015-03-18,30.91518176189585,16.570716384900443,36.62834325143562,30.91518176189585,30.91518176189585,-3.969810760843668,-3.969810760843668,-3.969810760843668,0.9760845581580085,0.9760845581580085,0.9760845581580085,-4.945895319001677,-4.945895319001677,-4.945895319001677,0.0,0.0,0.0,26.945371001052184
2015-03-19,30.89837455800687,16.907006399769802,36.63261129631677,30.89837455800687,30.89837455800687,-3.8986553670337436,-3.8986553670337436,-3.8986553670337436,0.93724828899655,0.93724828899655,0.93724828899655,-4.835903656030293,-4.835903656030293,-4.835903656030293,0.0,0.0,0.0,26.999719190973128
2015-03-20,30.881567354117898,16.9616154157539,36.765323361830625,30.881567354117898,30.881567354117898,-3.7913397919827743,-3.7913397919827743,-3.7913397919827743,0.9248777555237568,0.9248777555237568,0.9248777555237568,-4.716217547506531,-4.716217547506531,-4.716217547506531,0.0,0.0,0.0,27.090227562135123
2015-03-23,30.831145742450975,18.019603838251122,37.86364389326382,30.831145742450975,30.831145742450975,-3.233807911596796,-3.233807911596796,-3.233807911596796,1.0892424057085497,1.0892424057085497,1.0892424057085497,-4.323050317305346,-4.323050317305346,-4.323050317305346,0.0,0.0,0.0,27.59733783085418
2015-03-24,30.814338538561998,17.525633802481504,38.17335407034192,30.814338538561998,30.814338538561998,-3.1775057626793792,-3.1775057626793792,-3.1775057626793792,1.0109904169227732,1.0109904169227732,1.0109904169227732,-4.1884961796021525,-4.1884961796021525,-4.1884961796021525,0.0,0.0,0.0,27.636832775882617
2015-03-25,30.79753133467302,18.210986940798005,37.43601417057084,30.79753133467302,30.79753133467302,-3.079831404755947,-3.079831404755947,-3.079831404755947,0.9760845581579217,0.9760845581579217,0.9760845581579217,-4.055915962913868,-4.055915962913868,-4.055915962913868,0.0,0.0,0.0,27.717699929917075
2015-03-26,30.780724130784048,17.983046216516648,37.54837849513005,30.780724130784048,30.780724130784048,-2.9900909380030027,-2.9900909380030027,-2.9900909380030027,0.9372482889975767,0.9372482889975767,0.9372482889975767,-3.9273392270005796,-3.9273392270005796,-3.9273392270005796,0.0,0.0,0.0,27.790633192781044
2015-03-27,30.76391692689507,18.58927873743568,37.95048903505548,30.76391692689507,30.76391692689507,-2.879736295668583,-2.879736295668583,-2.879736295668583,0.9248777555239888,0.9248777555239888,0.9248777555239888,-3.804614051192572,-3.804614051192572,-3.804614051192572,0.0,0.0,0.0,27.88418063122649
2015-03-30,30.713495315228148,18.945493936205818,38.52863856323464,30.713495315228148,30.713495315228148,-2.397530729236693,-2.397530729236693,-2.397530729236693,1.0892424057085301,1.0892424057085301,1.0892424057085301,-3.486773134945223,-3.486773134945223,-3.486773134945223,0.0,0.0,0.0,28.315964585991455
2015-03-31,30.69668811133917,18.30462595462238,37.86722094032592,30.69668811133917,30.69668811133917,-2.390472209421511,-2.390472209421511,-2.390472209421511,1.010990416923018,1.010990416923018,1.010990416923018,-3.401462626344529,-3.401462626344529,-3.401462626344529,0.0,0.0,0.0,28.30621590191766
